material_type,weight_g,moisture_pct,size_cm,is_contaminated,recyclable,recommended_bin
metal,108.47,23.5,7.49,1,1,recyclable
organic,203.43,65.23,9.97,0,0,organic
glass,53.32,40.52,9.85,0,1,recyclable
organic,116.9,59.6,16.03,0,0,organic
organic,132.34,10.75,15.98,0,0,organic
paper,97.29,1.69,21.53,0,1,recyclable
glass,5.0,90.96,9.52,1,1,recyclable
glass,110.35,26.96,1.0,0,1,recyclable
glass,174.01,81.97,9.95,0,1,recyclable
organic,166.69,99.94,13.15,0,0,organic
metal,141.29,21.14,15.57,0,1,recyclable
glass,54.13,26.52,13.52,0,1,recyclable
e-waste,143.72,66.29,9.52,1,0,hazardous
organic,85.59,96.54,20.57,0,0,organic
paper,141.21,91.58,6.83,0,1,recyclable
metal,127.29,50.29,10.63,0,1,recyclable
e-waste,61.42,79.51,6.6,0,0,hazardous
e-waste,66.45,13.57,12.1,0,0,hazardous
paper,141.3,97.74,19.95,0,1,recyclable
metal,106.73,96.44,11.3,0,1,recyclable
organic,69.58,16.37,11.33,0,0,organic
plastic,64.63,29.94,3.52,0,1,recyclable
metal,101.77,10.02,10.57,0,1,recyclable
paper,214.09,27.17,17.75,0,1,recyclable
e-waste,88.44,81.6,10.75,0,0,hazardous
organic,119.16,37.83,10.41,0,0,organic
metal,126.1,8.84,17.53,0,1,recyclable
plastic,52.14,34.22,10.43,0,1,recyclable
plastic,14.23,98.14,18.46,0,1,recyclable
glass,58.4,62.97,5.58,1,1,recyclable
glass,134.82,41.62,15.39,0,1,recyclable
paper,125.24,16.65,20.23,0,1,recyclable
metal,162.14,98.62,17.04,0,1,recyclable
metal,125.8,82.08,2.66,0,1,recyclable
e-waste,113.43,28.15,8.81,0,0,hazardous
e-waste,83.76,7.01,10.79,0,0,hazardous
e-waste,173.08,5.66,17.05,0,0,hazardous
glass,64.85,12.04,5.34,0,1,recyclable
metal,53.38,58.08,6.91,0,1,recyclable
metal,154.02,92.88,3.97,0,1,recyclable
plastic,40.01,49.67,7.87,0,1,recyclable
glass,264.89,84.29,5.74,0,1,recyclable
organic,124.8,44.59,19.99,0,0,organic
glass,140.87,70.86,8.76,0,1,recyclable
organic,71.49,73.19,15.45,0,0,organic
plastic,101.08,17.4,12.09,0,1,recyclable
paper,94.39,36.12,12.02,0,1,recyclable
metal,87.49,63.73,9.04,0,1,recyclable
plastic,157.98,7.07,15.85,1,1,recyclable
metal,93.03,36.15,12.77,0,1,recyclable
e-waste,181.05,53.48,12.48,0,0,hazardous
paper,279.79,99.62,9.03,0,1,recyclable
paper,102.27,47.45,9.85,0,1,recyclable
plastic,129.14,81.61,14.94,0,1,recyclable
paper,142.77,43.21,13.15,0,1,recyclable
organic,228.69,79.64,12.62,0,0,organic
paper,115.04,59.54,8.23,1,1,recyclable
metal,70.26,88.66,21.72,0,1,recyclable
metal,44.02,41.09,9.6,0,1,recyclable
metal,116.52,60.43,11.85,0,1,recyclable
metal,93.1,63.0,11.06,1,1,recyclable
organic,240.6,41.74,21.77,1,0,organic
glass,226.19,14.43,10.55,0,1,recyclable
e-waste,57.94,9.36,10.09,0,0,hazardous
plastic,77.35,1.67,12.59,0,1,recyclable
metal,124.43,87.35,8.53,0,1,recyclable
paper,203.83,23.65,12.56,0,1,recyclable
metal,123.42,21.15,23.86,0,1,recyclable
paper,81.17,73.6,13.5,1,1,recyclable
e-waste,116.47,32.0,13.32,0,0,hazardous
e-waste,82.29,50.6,8.41,0,0,hazardous
e-waste,156.15,16.25,20.55,0,0,hazardous
paper,77.46,95.97,21.7,0,1,recyclable
metal,89.37,85.16,16.26,0,1,recyclable
e-waste,189.72,86.38,15.27,0,0,hazardous
organic,73.9,40.68,10.83,0,0,organic
paper,33.23,76.24,13.96,0,1,recyclable
paper,125.7,14.39,7.82,0,1,recyclable
metal,98.37,0.86,6.37,0,1,recyclable
paper,150.68,2.0,4.56,0,1,recyclable
paper,139.05,58.66,14.05,0,1,recyclable
e-waste,118.08,45.54,5.11,0,0,hazardous
metal,116.34,51.8,9.5,0,1,recyclable
e-waste,75.85,0.75,11.69,0,0,hazardous
e-waste,125.0,42.27,16.98,0,0,hazardous
metal,172.88,71.81,9.11,1,1,recyclable
plastic,61.59,44.27,17.57,1,1,recyclable
e-waste,119.68,73.22,16.7,0,0,hazardous
organic,182.3,23.3,6.64,1,0,organic
organic,150.33,81.31,17.61,1,0,organic
paper,198.57,58.84,10.58,1,1,recyclable
organic,85.91,21.08,9.51,0,0,organic
paper,10.15,23.67,10.6,0,1,recyclable
plastic,132.04,62.8,11.98,0,1,recyclable
metal,141.75,82.99,9.92,0,1,recyclable
metal,202.11,41.56,7.8,0,1,recyclable
metal,191.29,25.83,8.24,0,1,recyclable
organic,152.2,86.7,12.69,0,0,organic
plastic,165.92,66.93,11.2,0,1,recyclable
organic,108.49,44.81,14.64,0,0,organic
organic,46.85,48.79,12.26,0,0,organic
plastic,127.06,20.43,12.39,1,1,recyclable
plastic,178.95,62.68,14.96,0,1,recyclable
plastic,159.38,35.87,19.09,0,1,recyclable
plastic,170.03,99.56,19.3,0,1,recyclable
metal,94.33,48.02,18.7,0,1,recyclable
glass,104.07,48.59,16.35,0,1,recyclable
glass,149.01,56.59,22.43,1,1,recyclable
plastic,87.21,91.68,14.19,0,1,recyclable
glass,89.06,80.08,13.63,0,1,recyclable
glass,137.88,45.11,23.22,0,1,recyclable
plastic,165.65,71.87,1.0,0,1,recyclable
